BFS;Stadt;Jahr;Finanzvermögen;Verwaltungsvermögen;Fremdkapital;Eigenkapital
3443;Gossau (SG);2019;109122;133392;59662;182852
2546;Grenchen;2019;125956;53287;111805;67439
3001;Herisau;2019;54354;84083;101413;37023
296;Illnau-Effretikon;2019;73629;91216;73723;91122
329;Langenthal;2019;119869;77605;82176;115297
5113;Locarno;2019;115020;95070;187843;22247
306;Lyss;2019;70769;65686;56878;79577
6153;Monthey;2019;89976;109895;141295;58576
5642;Morges;2019;89939;77140;122217;44862
2770;Muttenz;2019;122068;93480;114779;100769
2581;Olten;2019;89196;150515;117883;121828
6631;Onex;2019;33022;58463;39692;51793
363;Ostermundigen;2019;69703;63524;79888;53340
2831;Pratteln;2019;100746;42334;50128;92952
5590;Pully;2019;95587;117140;152977;59750
96;Regensdorf;2019;181190;150611;134240;197561
2773;Reinach (BL);2019;107849;67645;103784;71710
247;Schlieren;2019;147349;223125;186231;184243
1372;Schwyz;2019;30332;83309;103827;9814
6248;Sierre;2019;68217;153832;102640;119410
2601;Solothurn;2019;118020;81906;32541;167385
939;Steffisburg;2019;65816;45551;20774;90592
141;Thalwil;2019;96848;140470;81570;155748
5890;Vevey;2019;150635;95581;247105;-889
199;Volketswil;2019;112676;79842;79051;113467
69;Wallisellen;2019;136242;124571;149214;111599
4082;Wohlen (AG);2019;77507;182516;88827;171197
2761;Aesch (BL);2019;32354;31946;33024;31276
2;Affoltern am Albis;2019;53194;66229;87616;31806
5401;Aigle;2019;66240;40659;97767;9132
3251;Altstätten;2019;41452;34370;51643;24179
4461;Amriswil;2019;69534;77646;112743;34437
4401;Arbon;2019;69513;110657;130320;49850
1362;Arth;2019;19558;20865;31898;8524
52;Bassersdorf;2019;56312;90833;70148;76997
861;Belp;2019;44060;33523;31330;46253
2766;Birsfelden;2019;44916;28122;34410;38627
6002;Brig-Glis;2019;56134;13687;31524;38298
4095;Brugg;2019;137890;163151;40449;260592
3271;Buchs (SG);2019;70844;74866;75192;70518
6612;Chêne-Bougeries;2019;186337;48250;40259;194329
3851;Davos;2019;218644;139392;132521;225515
